Version 2
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)"
T,,47.6920471,12.0470791,1,1,2001,0,0,0,1143,1e25
T,,47.6920547,12.0470839,1,1,2001,0,0,0,1147,1e25
T,,47.6920624,12.0470886,1,1,2001,0,0,0,1147,1e25
T,,47.6920891,12.0471087,1,1,2001,0,0,0,1148,1e25
T,,47.6920967,12.0471220,1,1,2001,0,0,0,1147,1e25
T,,47.6921196,12.0471506,1,1,2001,0,0,0,1147,1e25
T,,47.6921539,12.0471601,1,1,2001,0,0,0,1149,1e25
T,,47.6921959,12.0472803,1,1,2001,0,0,0,1149,1e25
T,,47.6922188,12.0475225,1,1,2001,0,0,0,1149,1e25
T,,47.6922264,12.0475655,1,1,2001,0,0,0,1149,1e25
T,,47.6922417,12.0475903,1,1,2001,0,0,0,1148,1e25
T,,47.6922722,12.0476723,1,1,2001,0,0,0,1150,1e25
T,,47.6922836,12.0476999,1,1,2001,0,0,0,1149,1e25
T,,47.6922913,12.0477257,1,1,2001,0,0,0,1150,1e25
T,,47.6922989,12.0477648,1,1,2001,0,0,0,1151,1e25
T,,47.6923103,12.0478449,1,1,2001,0,0,0,1150,1e25
T,,47.6923103,12.0479298,1,1,2001,0,0,0,1151,1e25
T,,47.6923065,12.0480108,1,1,2001,0,0,0,1151,1e25
T,,47.6923065,12.0480375,1,1,2001,0,0,0,1148,1e25
T,,47.6923065,12.0480938,1,1,2001,0,0,0,1150,1e25
T,,47.6923218,12.0481043,1,1,2001,0,0,0,1150,1e25
T,,47.6923256,12.0481882,1,1,2001,0,0,0,1152,1e25
T,,47.6923294,12.0483465,1,1,2001,0,0,0,1151,1e25
T,,47.6923256,12.0484514,1,1,2001,0,0,0,1150,1e25
T,,47.6923447,12.0486650,1,1,2001,0,0,0,1150,1e25
T,,47.6923447,12.0488024,1,1,2001,0,0,0,1151,1e25
T,,47.6923256,12.0489836,1,1,2001,0,0,0,1152,1e25
T,,47.6923103,12.0491333,1,1,2001,0,0,0,1152,1e25
T,,47.6923103,12.0491896,1,1,2001,0,0,0,1153,1e25
T,,47.6923103,12.0492172,1,1,2001,0,0,0,1151,1e25
T,,47.6923141,12.0493317,1,1,2001,0,0,0,1153,1e25
T,,47.6923141,12.0493355,1,1,2001,0,0,0,1152,1e25
T,,47.6923370,12.0493765,1,1,2001,0,0,0,1153,1e25
T,,47.6923637,12.0495491,1,1,2001,0,0,0,1151,1e25
T,,47.6923752,12.0496511,1,1,2001,0,0,0,1155,1e25
T,,47.6923790,12.0496664,1,1,2001,0,0,0,1153,1e25
T,,47.6924133,12.0498133,1,1,2001,0,0,0,1151,1e25
T,,47.6924171,12.0498400,1,1,2001,0,0,0,1154,1e25
T,,47.6924210,12.0498648,1,1,2001,0,0,0,1153,1e25
T,,47.6924286,12.0498953,1,1,2001,0,0,0,1154,1e25
T,,47.6924706,12.0500393,1,1,2001,0,0,0,1154,1e25
T,,47.6925049,12.0501833,1,1,2001,0,0,0,1153,1e25
T,,47.6925392,12.0503130,1,1,2001,0,0,0,1154,1e25
T,,47.6925507,12.0503407,1,1,2001,0,0,0,1152,1e25
T,,47.6925545,12.0503531,1,1,2001,0,0,0,1156,1e25
T,,47.6925583,12.0503664,1,1,2001,0,0,0,1155,1e25
T,,47.6925697,12.0504255,1,1,2001,0,0,0,1152,1e25
T,,47.6925735,12.0504389,1,1,2001,0,0,0,1155,1e25
T,,47.6925812,12.0504522,1,1,2001,0,0,0,1155,1e25
T,,47.6926155,12.0505295,1,1,2001,0,0,0,1155,1e25
T,,47.6926270,12.0505581,1,1,2001,0,0,0,1154,1e25
T,,47.6926880,12.0506639,1,1,2001,0,0,0,1156,1e25
T,,47.6927071,12.0506849,1,1,2001,0,0,0,1154,1e25
T,,47.6928177,12.0507460,1,1,2001,0,0,0,1154,1e25
T,,47.6929398,12.0508099,1,1,2001,0,0,0,1153,1e25
T,,47.6930542,12.0508947,1,1,2001,0,0,0,1153,1e25
T,,47.6931038,12.0509291,1,1,2001,0,0,0,1151,1e25
T,,47.6931152,12.0509338,1,1,2001,0,0,0,1152,1e25
T,,47.6931458,12.0509615,1,1,2001,0,0,0,1150,1e25
T,,47.6931763,12.0509739,1,1,2001,0,0,0,1152,1e25
T,,47.6932564,12.0509739,1,1,2001,0,0,0,1152,1e25
T,,47.6933289,12.0510187,1,1,2001,0,0,0,1151,1e25
T,,47.6933594,12.0511084,1,1,2001,0,0,0,1149,1e25
T,,47.6933632,12.0512962,1,1,2001,0,0,0,1148,1e25
T,,47.6934319,12.0515079,1,1,2001,0,0,0,1149,1e25
T,,47.6935310,12.0516043,1,1,2001,0,0,0,1149,1e25
T,,47.6935425,12.0516119,1,1,2001,0,0,0,1146,1e25
T,,47.6935463,12.0516176,1,1,2001,0,0,0,1149,1e25
T,,47.6935539,12.0516205,1,1,2001,0,0,0,1149,1e25
T,,47.6935921,12.0516520,1,1,2001,0,0,0,1149,1e25
