Track hddd.ddddd° WGS-84
Breite      	Länge       	 Time     	 Flag	Descr.	Alt
N 47.69058° 	E012.04783° 	 0 	 0 		1113
N 47.69057° 	E012.04784° 	 0 	 0 		1114
N 47.69056° 	E012.04784° 	 0 	 0 		1113
N 47.69054° 	E012.04784° 	 0 	 0 		1113
N 47.69052° 	E012.04779° 	 0 	 0 		1113
N 47.69047° 	E012.04769° 	 0 	 0 		1114
N 47.69041° 	E012.04753° 	 0 	 0 		1117
N 47.69037° 	E012.04736° 	 0 	 0 		1119
N 47.69035° 	E012.04721° 	 0 	 0 		1119
N 47.69033° 	E012.04705° 	 0 	 0 		1121
N 47.69031° 	E012.0469° 	 0 	 0 		1123
N 47.69031° 	E012.04686° 	 0 	 0 		1123
N 47.69026° 	E012.04671° 	 0 	 0 		1124
N 47.69024° 	E012.04665° 	 0 	 0 		1124
N 47.69019° 	E012.04658° 	 0 	 0 		1126
N 47.69017° 	E012.04657° 	 0 	 0 		1125
N 47.69015° 	E012.04647° 	 0 	 0 		1127
N 47.69017° 	E012.04645° 	 0 	 0 		1127
N 47.69019° 	E012.04647° 	 0 	 0 		1128
N 47.69019° 	E012.04648° 	 0 	 0 		1128
N 47.69033° 	E012.04652° 	 0 	 0 		1128
N 47.6904° 	E012.04661° 	 0 	 0 		1129
N 47.69043° 	E012.04663° 	 0 	 0 		1128
N 47.69047° 	E012.04666° 	 0 	 0 		1129
N 47.69055° 	E012.04678° 	 0 	 0 		1130
N 47.69061° 	E012.04684° 	 0 	 0 		1131
N 47.69066° 	E012.0469° 	 0 	 0 		1131
N 47.69072° 	E012.04697° 	 0 	 0 		1131
N 47.69079° 	E012.04706° 	 0 	 0 		1131
N 47.69082° 	E012.04709° 	 0 	 0 		1132
N 47.69084° 	E012.04709° 	 0 	 0 		1132
N 47.69092° 	E012.04719° 	 0 	 0 		1133
N 47.69101° 	E012.04728° 	 0 	 0 		1133
N 47.6911° 	E012.04732° 	 0 	 0 		1135
N 47.69119° 	E012.0473° 	 0 	 0 		1135
N 47.6912° 	E012.0473° 	 0 	 0 		1136
N 47.69132° 	E012.04724° 	 0 	 0 		1137
N 47.69135° 	E012.04722° 	 0 	 0 		1137
N 47.69138° 	E012.04722° 	 0 	 0 		1137
N 47.6913° 	E012.04728° 	 0 	 0 		1136
N 47.69124° 	E012.04732° 	 0 	 0 		1136
N 47.69123° 	E012.04732° 	 0 	 0 		1135
N 47.6912° 	E012.04732° 	 0 	 0 		1135
N 47.69119° 	E012.04734° 	 0 	 0 		1134
N 47.69119° 	E012.04733° 	 0 	 0 		1134
N 47.69122° 	E012.04732° 	 0 	 0 		1137
N 47.69124° 	E012.04731° 	 0 	 0 		1136
N 47.6913° 	E012.04728° 	 0 	 0 		1136
N 47.69139° 	E012.0472° 	 0 	 0 		1136
N 47.69143° 	E012.04717° 	 0 	 0 		1140
N 47.69144° 	E012.04716° 	 0 	 0 		1136
N 47.6915° 	E012.04711° 	 0 	 0 		1139
N 47.6916° 	E012.04705° 	 0 	 0 		1139
N 47.69162° 	E012.04705° 	 0 	 0 		1140
N 47.69174° 	E012.047° 	 0 	 0 		1139
N 47.69186° 	E012.04703° 	 0 	 0 		1142
N 47.69191° 	E012.04703° 	 0 	 0 		1145
N 47.69196° 	E012.04705° 	 0 	 0 		1145
N 47.69205° 	E012.04708° 	 0 	 0 		1143
N 47.69205° 	E012.04708° 	 0 	 0 		1147
N 47.69206° 	E012.04709° 	 0 	 0 		1147
N 47.69209° 	E012.04711° 	 0 	 0 		1148
N 47.6921° 	E012.04712° 	 0 	 0 		1147
N 47.69212° 	E012.04715° 	 0 	 0 		1147
N 47.69215° 	E012.04716° 	 0 	 0 		1149
N 47.6922° 	E012.04728° 	 0 	 0 		1149
N 47.69222° 	E012.04752° 	 0 	 0 		1149
N 47.69223° 	E012.04757° 	 0 	 0 		1149
N 47.69224° 	E012.04759° 	 0 	 0 		1148
N 47.69227° 	E012.04767° 	 0 	 0 		1150
N 47.69228° 	E012.0477° 	 0 	 0 		1149
N 47.69229° 	E012.04773° 	 0 	 0 		1150
N 47.6923° 	E012.04776° 	 0 	 0 		1151
N 47.69231° 	E012.04784° 	 0 	 0 		1150
N 47.69231° 	E012.04793° 	 0 	 0 		1151
N 47.69231° 	E012.04801° 	 0 	 0 		1151
N 47.69231° 	E012.04804° 	 0 	 0 		1148
N 47.69231° 	E012.04809° 	 0 	 0 		1150
N 47.69232° 	E012.0481° 	 0 	 0 		1150
N 47.69233° 	E012.04819° 	 0 	 0 		1152
N 47.69233° 	E012.04835° 	 0 	 0 		1151
N 47.69233° 	E012.04845° 	 0 	 0 		1150
N 47.69234° 	E012.04867° 	 0 	 0 		1150
N 47.69234° 	E012.0488° 	 0 	 0 		1151
N 47.69233° 	E012.04898° 	 0 	 0 		1152
N 47.69231° 	E012.04913° 	 0 	 0 		1152
N 47.69231° 	E012.04919° 	 0 	 0 		1153
N 47.69231° 	E012.04922° 	 0 	 0 		1151
N 47.69231° 	E012.04933° 	 0 	 0 		1153
N 47.69231° 	E012.04934° 	 0 	 0 		1152
N 47.69234° 	E012.04938° 	 0 	 0 		1153
N 47.69236° 	E012.04955° 	 0 	 0 		1151
N 47.69238° 	E012.04965° 	 0 	 0 		1155
N 47.69238° 	E012.04967° 	 0 	 0 		1153
N 47.69241° 	E012.04981° 	 0 	 0 		1151
N 47.69242° 	E012.04984° 	 0 	 0 		1154
N 47.69242° 	E012.04986° 	 0 	 0 		1153
N 47.69243° 	E012.0499° 	 0 	 0 		1154
N 47.69247° 	E012.05004° 	 0 	 0 		1154
N 47.6925° 	E012.05018° 	 0 	 0 		1153
N 47.69254° 	E012.05031° 	 0 	 0 		1154
N 47.69255° 	E012.05034° 	 0 	 0 		1152
N 47.69255° 	E012.05035° 	 0 	 0 		1156
N 47.69256° 	E012.05037° 	 0 	 0 		1155
N 47.69257° 	E012.05043° 	 0 	 0 		1152
N 47.69257° 	E012.05044° 	 0 	 0 		1155
N 47.69258° 	E012.05045° 	 0 	 0 		1155
N 47.69262° 	E012.05053° 	 0 	 0 		1155
N 47.69263° 	E012.05056° 	 0 	 0 		1154
N 47.69269° 	E012.05066° 	 0 	 0 		1156
N 47.69271° 	E012.05068° 	 0 	 0 		1154
N 47.69282° 	E012.05075° 	 0 	 0 		1154
N 47.69294° 	E012.05081° 	 0 	 0 		1153
N 47.69305° 	E012.05089° 	 0 	 0 		1153
N 47.6931° 	E012.05093° 	 0 	 0 		1151
N 47.69312° 	E012.05093° 	 0 	 0 		1152
N 47.69315° 	E012.05096° 	 0 	 0 		1150
N 47.69318° 	E012.05097° 	 0 	 0 		1152
N 47.69326° 	E012.05097° 	 0 	 0 		1152
N 47.69333° 	E012.05102° 	 0 	 0 		1151
